application_id,officer_id,loan_type_id,submission_date,submission_date_id,end_date,loan_amount,interest_rate,credit_score,applicant_age,applicant_income,num_dependents,outcome,total_processing_days,submission_stage_days,doc_verification_days,credit_check_days,underwriting_days,approval_days,disbursement_days,is_month_end_application,is_anomaly,region,loan_type,date_id,full_date,year,quarter,month,month_name,week,day_of_week,day_name,is_weekend,is_month_end,is_quarter_end
APP00011,OFF018,LT04,2023-03-15,20230315,2023-04-21,1728000,13.48,698,21,383000,2,Approved,37.46,5.02,6.73,5.83,8.51,5.55,5.82,False,False,North,Business Loan,20230315,2023-03-15,2023,1,3,March,11,2,Wednesday,False,False,False
APP00012,OFF047,LT05,2024-08-26,20240826,2024-09-28,364000,10.24,589,49,1729000,2,Approved,33.16,4.04,6.27,5.27,8.34,4.59,4.65,True,False,East,Education Loan,20240826,2024-08-26,2024,3,8,August,35,0,Monday,False,False,False
APP00013,OFF031,LT04,2023-01-25,20230125,2023-03-24,514000,15.38,850,42,551000,2,Approved,58.38,7.39,10.2,9.03,13.33,9.13,9.3,True,False,South,Business Loan,20230125,2023-01-25,2023,1,1,January,4,2,Wednesday,False,False,False
APP00014,OFF043,LT04,2023-12-27,20231227,2024-02-24,170000,13.95,652,28,1202000,4,Rejected,59.86,7.79,10.54,9.39,13.26,9.4,9.48,True,False,North,Business Loan,20231227,2023-12-27,2023,4,12,December,52,2,Wednesday,False,False,False
APP00015,OFF030,LT01,2022-07-21,20220721,2022-08-25,363000,13.61,569,56,1658000,3,Rejected,35.67,3.95,6.23,5.49,9.07,5.44,5.49,False,False,South,Personal Loan,20220721,2022-07-21,2022,3,7,July,29,3,Thursday,False,False,False
APP00016,OFF047,LT03,2022-08-12,20220812,2022-09-06,1374000,10.01,694,37,369000,2,Approved,25.03,2.23,4.95,3.52,6.93,3.81,3.59,False,False,East,Auto Loan,20220812,2022-08-12,2022,3,8,August,32,4,Friday,False,False,False
APP00017,OFF013,LT05,2024-07-07,20240707,2024-07-25,120000,9.57,622,48,354000,0,Approved,18.28,1.7,3.62,2.75,4.82,2.61,2.78,False,False,East,Education Loan,20240707,2024-07-07,2024,3,7,July,27,6,Sunday,True,False,False
APP00018,OFF012,LT03,2024-08-05,20240805,2024-08-27,820000,9.81,629,40,341000,0,Approved,22.22,2.38,4.33,3.3,5.67,3.18,3.36,False,False,West,Auto Loan,20240805,2024-08-05,2024,3,8,August,32,0,Monday,False,False,False
APP00019,OFF005,LT04,2022-07-20,20220720,2022-09-07,4815000,15.14,579,63,1528000,2,Withdrawn,49.92,6.35,9.47,7.67,11.27,7.87,7.29,False,False,North,Business Loan,20220720,2022-07-20,2022,3,7,July,29,2,Wednesday,False,False,False
APP00020,OFF035,LT01,2022-07-11,20220711,2022-08-01,325000,12.92,605,28,981000,1,Approved,21.21,2.61,3.68,2.74,5.39,3.68,3.11,False,False,North,Personal Loan,20220711,2022-07-11,2022,3,7,July,28,0,Monday,False,False,False
APP00021,OFF016,LT02,2024-04-12,20240412,2024-05-18,6178000,7.99,695,22,1254000,4,Rejected,36.23,4.37,6.23,5.41,9.04,5.51,5.67,False,False,East,Home Loan,20240412,2024-04-12,2024,2,4,April,15,4,Friday,False,False,False
APP00022,OFF014,LT04,2022-05-01,20220501,2022-06-22,2899000,15.72,671,29,325000,0,Approved,52.24,6.58,9.03,8.62,11.88,8.01,8.12,False,False,West,Business Loan,20220501,2022-05-01,2022,2,5,May,17,6,Sunday,True,False,False
APP00023,OFF001,LT04,2023-06-28,20230628,2023-08-15,517000,14.89,708,56,708000,0,Rejected,48.2,6.28,8.5,7.32,11.21,7.6,7.29,True,False,North,Business Loan,20230628,2023-06-28,2023,2,6,June,26,2,Wednesday,False,False,False
APP00024,OFF030,LT03,2024-05-16,20240516,2024-06-16,1138000,11.58,663,39,1552000,3,Withdrawn,31.87,3.43,5.86,4.6,8.86,4.39,4.73,False,False,South,Auto Loan,20240516,2024-05-16,2024,2,5,May,20,3,Thursday,False,False,False
APP00025,OFF047,LT05,2024-09-23,20240923,,251000,10.85,832,40,728000,1,In Progress,25.1,3.25,4.5,3.89,6.04,3.78,3.64,False,False,East,Education Loan,20240923,2024-09-23,2024,3,9,September,39,0,Monday,False,False,False
APP00026,OFF019,LT02,2022-04-30,20220430,2022-07-08,7536000,7.85,744,27,1571000,2,Withdrawn,69.23,8.98,12.3,10.59,15.74,11.12,10.5,True,False,West,Home Loan,20220430,2022-04-30,2022,2,4,April,17,5,Saturday,True,True,False
APP00027,OFF035,LT01,2023-10-05,20231005,2023-10-24,96000,14.34,622,55,1205000,1,Approved,19.2,1.94,3.51,2.93,5.09,3.11,2.62,False,False,North,Personal Loan,20231005,2023-10-05,2023,4,10,October,40,3,Thursday,False,False,False
APP00028,OFF038,LT04,2024-10-26,20241026,2024-12-29,600000,15.89,802,37,714000,3,Approved,64.92,8.46,11.61,9.98,14.82,9.82,10.23,True,False,East,Business Loan,20241026,2024-10-26,2024,4,10,October,43,5,Saturday,True,False,False
APP00029,OFF034,LT02,2022-04-27,20220427,2022-06-16,9634000,9.59,850,46,1822000,0,Approved,50.87,6.22,9.25,7.72,11.72,8.26,7.7,True,False,West,Home Loan,20220427,2022-04-27,2022,2,4,April,17,2,Wednesday,False,False,False
APP00030,OFF006,LT02,2022-05-21,20220521,,2846000,8.56,571,46,340000,4,In Progress,37.85,4.53,6.84,6.11,8.55,6.05,5.77,False,False,Central,Home Loan,20220521,2022-05-21,2022,2,5,May,20,5,Saturday,True,False,False
APP00031,OFF044,LT02,2024-04-06,20240406,2024-05-09,9863000,8.75,774,64,471000,2,Rejected,33.51,3.53,6.04,5.19,8.05,5.24,5.46,False,False,Central,Home Loan,20240406,2024-04-06,2024,2,4,April,14,5,Saturday,True,False,False
APP00032,OFF037,LT02,2022-03-23,20220323,,3840000,10.09,675,56,1999000,4,In Progress,39.5,4.92,7.4,6.27,8.83,5.92,6.16,False,False,West,Home Loan,20220323,2022-03-23,2022,1,3,March,12,2,Wednesday,False,False,False
APP00033,OFF027,LT05,2023-10-10,20231010,2023-11-15,1133000,9.07,706,43,1590000,2,Withdrawn,36.83,4.21,6.28,5.12,9.38,5.85,5.99,False,False,West,Education Loan,20231010,2023-10-10,2023,4,10,October,41,1,Tuesday,False,False,False
APP00034,OFF014,LT03,2023-05-04,20230504,2023-06-04,1286000,9.64,750,27,226000,1,Rejected,31.76,3.06,6.23,4.65,8.25,4.52,5.05,False,False,West,Auto Loan,20230504,2023-05-04,2023,2,5,May,18,3,Thursday,False,False,False
APP00035,OFF009,LT03,2024-07-25,20240725,2024-08-31,619000,11.59,678,32,1026000,4,Approved,37.45,3.75,7.11,5.81,9.98,5.85,4.95,True,False,South,Auto Loan,20240725,2024-07-25,2024,3,7,July,30,3,Thursday,False,False,False
APP00036,OFF049,LT01,2022-01-20,20220120,2022-02-16,272000,14.19,595,41,1402000,0,Approved,27.18,3.29,4.69,4.27,7.23,3.79,3.91,False,False,South,Personal Loan,20220120,2022-01-20,2022,1,1,January,3,3,Thursday,False,False,False
APP00037,OFF037,LT01,2022-05-31,20220531,2022-07-08,68000,13.57,624,59,1858000,0,Approved,38.02,4.15,7.16,5.44,10.21,5.88,5.18,True,False,West,Personal Loan,20220531,2022-05-31,2022,2,5,May,22,1,Tuesday,False,True,False
APP00038,OFF033,LT03,2022-09-29,20220929,2022-11-11,1219000,10.39,789,53,266000,1,Rejected,43.86,4.79,8.35,6.44,12.2,5.92,6.16,True,False,South,Auto Loan,20220929,2022-09-29,2022,3,9,September,39,3,Thursday,False,False,False
APP00039,OFF005,LT02,2024-01-27,20240127,2024-04-05,8957000,8.63,628,26,1803000,2,Approved,69.15,8.49,12.7,11.18,15.84,10.48,10.46,True,False,North,Home Loan,20240127,2024-01-27,2024,1,1,January,4,5,Saturday,True,False,False
APP00040,OFF029,LT05,2023-09-12,20230912,2023-10-14,1374000,8.38,806,33,854000,2,Withdrawn,32.7,3.46,5.68,4.86,8.81,5.16,4.73,False,False,West,Education Loan,20230912,2023-09-12,2023,3,9,September,37,1,Tuesday,False,False,False
APP00041,OFF042,LT05,2022-01-17,20220117,2022-02-11,1163000,8.48,632,28,1814000,0,Approved,25.32,3.02,4.76,3.76,6.37,3.73,3.68,False,False,East,Education Loan,20220117,2022-01-17,2022,1,1,January,3,0,Monday,False,False,False
APP00042,OFF036,LT03,2022-08-01,20220801,2022-08-23,811000,11.01,637,61,1202000,2,Approved,22.38,2.1,4.36,3.27,6.19,3.38,3.08,False,False,West,Auto Loan,20220801,2022-08-01,2022,3,8,August,31,0,Monday,False,False,False
APP00043,OFF009,LT03,2022-08-25,20220825,2022-09-28,1166000,9.87,588,42,1159000,0,Approved,34.98,3.56,6.29,4.82,9.88,5.39,5.04,True,False,South,Auto Loan,20220825,2022-08-25,2022,3,8,August,34,3,Thursday,False,False,False
APP00044,OFF048,LT05,2022-11-15,20221115,2022-12-11,706000,9.41,795,39,828000,4,Approved,26.95,3.19,5.19,3.83,6.92,3.66,4.16,False,False,North,Education Loan,20221115,2022-11-15,2022,4,11,November,46,1,Tuesday,False,False,False
APP00045,OFF039,LT02,2023-12-04,20231204,,8315000,7.92,632,28,496000,3,In Progress,35.66,4.53,6.2,5.42,8.29,5.75,5.47,False,False,Central,Home Loan,20231204,2023-12-04,2023,4,12,December,49,0,Monday,False,False,False
APP00046,OFF041,LT03,2024-11-01,20241101,2024-11-30,1015000,10.39,599,34,1546000,2,Approved,29.83,3.29,5.86,4.26,8.45,4.23,3.74,False,False,South,Auto Loan,20241101,2024-11-01,2024,4,11,November,44,4,Friday,False,False,False
APP00047,OFF004,LT01,2024-05-17,20240517,,154000,11.92,720,44,1809000,3,In Progress,26.14,3.18,4.22,3.97,7.06,3.46,4.25,False,False,West,Personal Loan,20240517,2024-05-17,2024,2,5,May,20,4,Friday,False,False,False
APP00048,OFF003,LT01,2023-11-15,20231115,2023-12-06,118000,12.53,706,57,399000,3,Approved,21.56,2.73,4.17,2.88,5.51,2.99,3.28,False,False,North,Personal Loan,20231115,2023-11-15,2023,4,11,November,46,2,Wednesday,False,False,False
APP00049,OFF041,LT03,2022-11-27,20221127,2023-01-05,626000,10.63,618,28,1835000,2,Withdrawn,39.11,3.84,6.98,5.85,10.61,5.97,5.86,True,False,South,Auto Loan,20221127,2022-11-27,2022,4,11,November,47,6,Sunday,True,False,False
APP00050,OFF036,LT04,2022-01-20,20220120,2022-02-28,2034000,15.77,727,52,475000,2,Approved,39.16,4.63,6.87,6.7,8.58,5.93,6.45,False,False,West,Business Loan,20220120,2022-01-20,2022,1,1,January,3,3,Thursday,False,False,False
APP00051,OFF045,LT02,2022-03-15,20220315,2022-04-19,6087000,8.7,667,56,208000,1,Approved,35.46,4.34,6.21,5.21,8.32,5.99,5.39,False,False,East,Home Loan,20220315,2022-03-15,2022,1,3,March,11,1,Tuesday,False,False,False
APP00052,OFF038,LT05,2022-10-31,20221031,,1098000,8.42,559,28,1097000,1,In Progress,44.08,5.08,7.8,6.31,11.07,7.2,6.62,True,False,East,Education Loan,20221031,2022-10-31,2022,4,10,October,44,0,Monday,False,True,False
APP00053,OFF003,LT03,2024-01-17,20240117,2024-02-09,1377000,9.2,617,60,569000,0,Approved,23.67,2.89,4.54,3.19,5.73,4.04,3.28,False,False,North,Auto Loan,20240117,2024-01-17,2024,1,1,January,3,2,Wednesday,False,False,False
APP00054,OFF003,LT03,2023-03-07,20230307,2023-03-24,103000,10.2,767,45,479000,0,Approved,17.54,2.07,3.15,2.65,4.78,3.07,1.82,False,False,North,Auto Loan,20230307,2023-03-07,2023,1,3,March,10,1,Tuesday,False,False,False
APP00055,OFF043,LT01,2023-12-26,20231226,2024-02-21,476000,13.48,737,21,387000,3,Approved,57.88,6.72,10.39,8.52,15.08,8.77,8.4,True,False,North,Personal Loan,20231226,2023-12-26,2023,4,12,December,52,1,Tuesday,False,False,False
APP00056,OFF027,LT05,2022-11-13,20221113,2022-12-15,398000,9.19,700,50,569000,1,Rejected,32.92,3.56,6.02,4.94,8.59,4.73,5.08,False,False,West,Education Loan,20221113,2022-11-13,2022,4,11,November,45,6,Sunday,True,False,False
APP00057,OFF016,LT02,2022-12-29,20221229,2023-02-19,179000,8.28,785,32,1323000,1,Approved,52.43,6.64,9.07,8.27,12.3,7.84,8.31,True,False,East,Home Loan,20221229,2022-12-29,2022,4,12,December,52,3,Thursday,False,False,False
APP00058,OFF002,LT02,2023-11-12,20231112,2023-12-11,5543000,10.18,768,56,965000,0,Approved,29.76,3.26,5.54,4.6,6.99,4.75,4.62,False,False,South,Home Loan,20231112,2023-11-12,2023,4,11,November,45,6,Sunday,True,False,False
APP00059,OFF027,LT02,2023-07-01,20230701,2023-08-10,2723000,8.02,549,45,1373000,3,Approved,40.83,4.71,7.61,6.3,9.6,6.26,6.35,False,False,West,Home Loan,20230701,2023-07-01,2023,3,7,July,26,5,Saturday,True,False,False
APP00060,OFF045,LT01,2024-02-23,20240223,2024-03-18,143000,13.06,577,23,499000,2,Approved,24.37,2.79,4.44,3.79,6.61,3.8,2.94,False,False,East,Personal Loan,20240223,2024-02-23,2024,1,2,February,8,4,Friday,False,False,False
APP00061,OFF031,LT02,2023-02-13,20230213,2023-03-15,874000,9.2,846,62,1519000,1,Rejected,30.22,3.75,5.26,4.53,7.03,4.52,5.13,False,False,South,Home Loan,20230213,2023-02-13,2023,1,2,February,7,0,Monday,False,False,False
APP00062,OFF030,LT03,2023-09-18,20230918,2023-10-14,95000,9.32,623,24,1511000,2,Approved,26.84,2.62,4.7,3.83,7.8,3.76,4.13,False,False,South,Auto Loan,20230918,2023-09-18,2023,3,9,September,38,0,Monday,False,False,False
APP00063,OFF015,LT02,2022-02-18,20220218,2022-03-30,6900000,8.58,574,44,1771000,2,Approved,40.17,5.2,7.04,6.29,9.72,6.29,5.63,False,False,North,Home Loan,20220218,2022-02-18,2022,1,2,February,7,4,Friday,False,False,False
APP00064,OFF026,LT03,2023-07-25,20230725,2023-09-01,1005000,9.1,690,51,735000,4,Rejected,38.3,3.95,7.09,5.81,9.98,5.6,5.87,True,False,South,Auto Loan,20230725,2023-07-25,2023,3,7,July,30,1,Tuesday,False,False,False
APP00065,OFF050,LT03,2023-12-21,20231221,,1458000,9.36,697,35,1505000,0,In Progress,30.07,3.45,5.58,4.22,8.37,3.94,4.51,False,False,Central,Auto Loan,20231221,2023-12-21,2023,4,12,December,51,3,Thursday,False,False,False
APP00066,OFF026,LT05,2023-11-10,20231110,2023-12-05,665000,8.07,726,59,238000,3,Approved,25.82,2.88,4.55,4.2,6.74,3.97,3.48,False,False,South,Education Loan,20231110,2023-11-10,2023,4,11,November,45,4,Friday,False,False,False
APP00067,OFF008,LT03,2023-01-01,20230101,,817000,11.95,644,39,1528000,1,In Progress,21.62,2.66,3.92,3.05,5.21,3.48,3.3,False,False,West,Auto Loan,20230101,2023-01-01,2023,1,1,January,52,6,Sunday,True,False,False
APP00068,OFF017,LT01,2022-08-11,20220811,2022-09-03,100000,14.35,734,55,361000,1,Approved,23.68,3.23,4.35,3.41,5.93,3.36,3.4,False,False,North,Personal Loan,20220811,2022-08-11,2022,3,8,August,32,3,Thursday,False,False,False
APP00069,OFF023,LT03,2024-06-12,20240612,,1325000,9.53,630,55,830000,0,In Progress,30.31,3.76,5.32,4.64,8.46,3.82,4.31,False,False,South,Auto Loan,20240612,2024-06-12,2024,2,6,June,24,2,Wednesday,False,False,False
APP00070,OFF033,LT01,2024-02-28,20240228,,448000,12.17,730,44,1267000,2,In Progress,64.4,7.01,12.39,9.4,16.49,9.71,9.4,True,False,South,Personal Loan,20240228,2024-02-28,2024,1,2,February,9,2,Wednesday,False,False,False
APP00071,OFF013,LT03,2022-04-01,20220401,,183000,9.26,540,32,1502000,2,In Progress,16.3,1.44,2.81,2.36,4.33,2.48,2.88,False,False,East,Auto Loan,20220401,2022-04-01,2022,2,4,April,13,4,Friday,False,False,False
APP00072,OFF001,LT05,2023-02-08,20230208,2023-03-07,208000,10.47,637,36,1420000,2,Approved,27.07,2.71,4.69,4.03,6.6,4.32,4.72,False,False,North,Education Loan,20230208,2023-02-08,2023,1,2,February,6,2,Wednesday,False,False,False
APP00073,OFF005,LT03,2023-10-05,20231005,,437000,10.86,628,59,1769000,0,In Progress,25.79,2.7,4.87,3.78,6.71,3.85,3.88,False,False,North,Auto Loan,20231005,2023-10-05,2023,4,10,October,40,3,Thursday,False,False,False
APP00074,OFF008,LT03,2024-11-04,20241104,2024-11-27,1247000,9.02,782,33,1310000,4,Approved,23.88,2.6,4.79,3.2,6.51,3.33,3.45,False,False,West,Auto Loan,20241104,2024-11-04,2024,4,11,November,45,0,Monday,False,False,False
APP00075,OFF027,LT03,2024-04-04,20240404,2024-05-05,966000,11.89,776,62,385000,4,Approved,31.45,3.33,6.29,4.3,8.21,4.46,4.86,False,False,West,Auto Loan,20240404,2024-04-04,2024,2,4,April,14,3,Thursday,False,False,False
APP00076,OFF036,LT02,2023-01-28,20230128,2023-03-17,725000,10.11,690,63,1944000,2,Approved,48.12,5.69,8.74,7.54,11.03,7.78,7.34,True,False,West,Home Loan,20230128,2023-01-28,2023,1,1,January,4,5,Saturday,True,False,False
APP00077,OFF025,LT02,2023-09-09,20230909,2023-10-12,1344000,10.49,564,28,1631000,2,Withdrawn,33.25,4.21,5.53,5.41,8.35,4.68,5.07,False,False,South,Home Loan,20230909,2023-09-09,2023,3,9,September,36,5,Saturday,True,False,False
APP00078,OFF001,LT03,2023-08-11,20230811,2023-09-01,370000,10.92,730,38,694000,4,Approved,21.64,1.63,4.46,3.6,5.9,2.87,3.18,False,False,North,Auto Loan,20230811,2023-08-11,2023,3,8,August,32,4,Friday,False,False,False
APP00079,OFF038,LT05,2023-10-22,20231022,,848000,9.42,707,54,1721000,3,In Progress,28.56,3.15,5.09,4.35,7.14,4.61,4.22,False,False,East,Education Loan,20231022,2023-10-22,2023,4,10,October,42,6,Sunday,True,False,False
APP00080,OFF029,LT02,2024-11-12,20241112,2024-12-20,6281000,8.79,619,29,1085000,0,Approved,38.77,4.93,7.29,6,8.74,5.84,5.97,False,False,West,Home Loan,20241112,2024-11-12,2024,4,11,November,46,1,Tuesday,False,False,False
APP00081,OFF048,LT02,2022-06-23,20220623,2022-07-26,5841000,8.94,553,51,1748000,3,Approved,33.76,4.06,6.44,5.11,8.02,5.14,4.99,False,False,North,Home Loan,20220623,2022-06-23,2022,2,6,June,25,3,Thursday,False,False,False
APP00082,OFF043,LT05,2023-11-18,20231118,2023-12-18,127000,8.03,822,35,1132000,0,Approved,30.53,3.69,5.35,4.32,8.13,4.44,4.6,False,False,North,Education Loan,20231118,2023-11-18,2023,4,11,November,46,5,Saturday,True,False,False
APP00083,OFF049,LT02,2023-09-28,20230928,2023-11-14,380000,8,702,52,257000,4,Approved,47.31,5.57,8.4,7.71,11.28,7,7.35,True,False,South,Home Loan,20230928,2023-09-28,2023,3,9,September,39,3,Thursday,False,False,False
APP00084,OFF013,LT02,2022-02-20,20220220,2022-03-15,567000,7.74,637,60,1186000,3,Approved,23.85,2.63,4.36,3.63,5.7,3.7,3.83,False,False,East,Home Loan,20220220,2022-02-20,2022,1,2,February,7,6,Sunday,True,False,False
APP00085,OFF031,LT05,2022-05-30,20220530,2022-07-15,1305000,9.49,818,31,1993000,4,Approved,46.68,5.33,8.62,6.69,11.51,7.19,7.34,True,False,South,Education Loan,20220530,2022-05-30,2022,2,5,May,22,0,Monday,False,False,False
APP00086,OFF041,LT05,2023-02-03,20230203,2023-03-12,1318000,9.28,749,36,868000,4,Approved,37.79,4.47,6.66,5.64,9.62,5.54,5.86,False,False,South,Education Loan,20230203,2023-02-03,2023,1,2,February,5,4,Friday,False,False,False
APP00087,OFF025,LT04,2024-03-29,20240329,2024-06-01,4342000,13.83,744,30,1321000,2,Rejected,64.34,8.81,11.19,10.14,14.34,9.77,10.09,True,False,South,Business Loan,20240329,2024-03-29,2024,1,3,March,13,4,Friday,False,False,False
APP00088,OFF042,LT01,2022-08-07,20220807,2022-08-31,380000,12.24,773,59,1002000,2,Approved,24.16,2.75,4.64,3.67,6.12,3.39,3.59,False,False,East,Personal Loan,20220807,2022-08-07,2022,3,8,August,31,6,Sunday,True,False,False
APP00089,OFF015,LT02,2024-11-26,20241126,2025-01-22,5950000,7.89,676,31,332000,0,Approved,57.77,7.32,10.39,9.06,13.25,9.15,8.6,True,False,North,Home Loan,20241126,2024-11-26,2024,4,11,November,48,1,Tuesday,False,False,False
APP00090,OFF036,LT02,2022-09-06,20220906,2022-10-09,5222000,8,721,22,1526000,2,Approved,33.71,4.36,6.02,5.53,8.16,4.74,4.9,False,False,West,Home Loan,20220906,2022-09-06,2022,3,9,September,36,1,Tuesday,False,False,False
APP00091,OFF030,LT05,2023-10-12,20231012,2023-11-17,976000,8.17,738,22,420000,2,Withdrawn,36.8,4.37,7.09,5.39,9.25,5.38,5.32,False,False,South,Education Loan,20231012,2023-10-12,2023,4,10,October,41,3,Thursday,False,False,False
APP00092,OFF029,LT05,2024-10-30,20241030,2024-12-21,667000,8.42,668,22,754000,2,Approved,52.67,6.11,9.85,7.94,13.35,6.96,8.46,True,False,West,Education Loan,20241030,2024-10-30,2024,4,10,October,44,2,Wednesday,False,False,False
APP00093,OFF036,LT04,2022-11-22,20221122,2022-12-28,1049000,15.83,677,48,1764000,2,Rejected,36.99,4.55,7.04,5.54,8.25,5.86,5.75,False,False,West,Business Loan,20221122,2022-11-22,2022,4,11,November,47,1,Tuesday,False,False,False
APP00094,OFF031,LT04,2023-06-15,20230615,,200000,13.32,588,49,1999000,0,In Progress,37.86,5.35,6.8,5.96,8.39,5.26,6.1,False,False,South,Business Loan,20230615,2023-06-15,2023,2,6,June,24,3,Thursday,False,False,False
APP00095,OFF041,LT03,2024-09-19,20240919,2024-10-22,1467000,9.98,763,54,1636000,1,Approved,33.17,3.44,6.15,5.17,8.83,4.61,4.97,False,False,South,Auto Loan,20240919,2024-09-19,2024,3,9,September,38,3,Thursday,False,False,False
APP00096,OFF018,LT04,2022-06-08,20220608,2022-07-19,4098000,14.17,612,40,628000,1,Approved,41.8,5.67,7.44,6.5,9.16,6.06,6.97,False,False,North,Business Loan,20220608,2022-06-08,2022,2,6,June,23,2,Wednesday,False,False,False
APP00097,OFF016,LT03,2023-11-19,20231119,2023-12-11,380000,10.56,643,36,884000,1,Approved,22.83,2.72,4.31,2.91,6.46,3.41,3.02,False,False,East,Auto Loan,20231119,2023-11-19,2023,4,11,November,46,6,Sunday,True,False,False
APP00098,OFF035,LT01,2022-10-11,20221011,2022-11-02,311000,12.23,702,61,308000,4,Approved,22.16,2.32,4.29,3.27,5.6,3.35,3.33,False,False,North,Personal Loan,20221011,2022-10-11,2022,4,10,October,41,1,Tuesday,False,False,False
APP00099,OFF025,LT02,2023-03-15,20230315,2023-04-19,3549000,8.43,801,32,944000,0,Approved,35.47,4.01,6.5,5.23,8.21,5.58,5.94,False,False,South,Home Loan,20230315,2023-03-15,2023,1,3,March,11,2,Wednesday,False,False,False
APP00100,OFF027,LT03,2024-08-12,20240812,2024-09-07,313000,11.89,715,42,1651000,2,Rejected,26.1,3.02,5.06,3.51,7.08,4,3.43,False,False,West,Auto Loan,20240812,2024-08-12,2024,3,8,August,33,0,Monday,False,False,False
APP00101,OFF014,LT04,2024-03-08,20240308,2024-04-21,265000,14.83,771,60,836000,1,Rejected,44.47,5.88,8.14,6.93,10.11,6.7,6.71,False,False,West,Business Loan,20240308,2024-03-08,2024,1,3,March,10,4,Friday,False,False,False
APP00102,OFF038,LT01,2024-02-19,20240219,2024-03-18,401000,13.26,850,28,1526000,3,Approved,28.4,3.08,5.2,4.61,7.21,4.32,3.98,False,False,East,Personal Loan,20240219,2024-02-19,2024,1,2,February,8,0,Monday,False,False,False
APP00103,OFF023,LT03,2024-03-09,20240309,2024-04-03,364000,10.78,705,27,1451000,1,Approved,25.3,2.61,4.64,3.93,7.42,3.47,3.23,False,False,South,Auto Loan,20240309,2024-03-09,2024,1,3,March,10,5,Saturday,True,False,False
APP00104,OFF027,LT05,2023-03-28,20230328,2023-05-24,1449000,9.06,623,24,1134000,0,Rejected,57.37,6.78,10.74,8.55,14.04,8.88,8.38,True,False,West,Education Loan,20230328,2023-03-28,2023,1,3,March,13,1,Tuesday,False,False,False
APP00105,OFF018,LT04,2024-09-21,20240921,2024-11-02,4012000,15.01,813,41,308000,2,Approved,42.2,5.78,7.5,6.61,10.09,6.12,6.1,False,False,North,Business Loan,20240921,2024-09-21,2024,3,9,September,38,5,Saturday,True,False,False
APP00106,OFF022,LT04,2022-12-05,20221205,2023-01-24,4790000,14.04,655,50,1632000,4,Approved,50.72,6.73,8.72,8,11.14,7.84,8.29,False,False,North,Business Loan,20221205,2022-12-05,2022,4,12,December,49,0,Monday,False,False,False
